Mintopoly Money Airdrop (~250,000 to the 152 contributors)
https://polygonscan.com/tx/0x0907ab8c5b0b8f48c115ecbf2c2b2a59790f00f5f90ac2e55ba7167e8f0c8f5b

TOKEN ALLOCCATION
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 48570.15025513
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 26460.97929744
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 21033.60773864
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 16892.45983216
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 12604.85078128
0x36cb7898012E3B19070554BE377f7C0E708be229 : 11499.02428146
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 7679.66014915
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 7642.41081227
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 6816.25291595
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 5562.85620236
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 5175.85074288
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 5159.56117658
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 5076.31007625
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 4356.19729036
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 4000
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 3999.18254965
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 3612.10735408
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 3500.57407261
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 3478.00200462
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 3018.1480248
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 2641.6343371
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2539.67745236
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2500.07135642
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2480.93364587
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2356.93966261
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2120.02591596
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2086.85939279
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 1687.27055596
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 1320.69239758
0x83c972ef4a35F842559a915571D380849b1c7315 : 1297.84332227
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 1250.87703197
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 1034.76093719
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 1031.87844408
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 1026.61889085
0xAf6073928FeA1Cb1E6ADE67d02B5580D1E39D1c3 : 1007.88178721
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 774.98404339
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 700.2177533
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 686.85662759
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 684.98097726
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 675.78410514
0x3C811D6477Dac421CfC5f26dEfdCcdfCBDc02B71 : 598.00412896
0x9739d674708aE47403Fe9CbdF21721a346574591 : 568.98894406
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 522.27111562
0xAC5fD2634220078910eB868566c6E0ff3B56fe8F : 507.42217486
0x2C85783bfCFc4382E4e8a10d4119A7efd425157C : 484.10574924
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 476.26646779
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 467.69338193
0xb215ed8a34ac74DC3D61941b8007C76b19F7A367 : 404.94941067
0xa195eacea34bb3B6441a91825aCa24D31134BA47 : 397.02312163
