Mintopoly Money Airdrop (~240,000 to the 189 contributors)
https://polygonscan.com/tx/0xe6e2e08d70a23e6674e0dcc8b9f025f1bd38124c38cbe31eeb42c61302bafb10

TOKEN ALLOCCATION
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 11999.99999809
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 11999.99999759
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 11999.99960837
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 11999.99885455
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 11999.64339811
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 10955.85555618
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 10922.14131665
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 10224.9875063
0x36cb7898012E3B19070554BE377f7C0E708be229 : 8351.3963617
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 7477.51035663
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 6114.57812624
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 6100.61645395
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 5263.97004521
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 4590.99275981
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 4427.10615057
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 4085.21176977
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 4073.79966568
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 3975.09494651
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 3945.12570057
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 3865.30766312
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 3546.25004334
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 3247.13972974
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 3150.32617967
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 3079.28574152
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 3006.87879193
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 3000.00000033
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2667.3814121
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2383.84183981
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 2282.69373216
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2241.48961266
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2144.24490374
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2070.45063072
0xb215ed8a34ac74DC3D61941b8007C76b19F7A367 : 2046.72069493
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 1886.59424302
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 1749.19814396
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 1545.25847986
0x964167209C71a0d45d89469C118213884C232054 : 1510.26881914
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 1440.68569488
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 1387.15774946
0x3d8D0a95D9962cCeD171776f667f5dD2A1AC8fFe : 1336.97286316
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 1263.04930682
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 1248.36529061
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 1208.8832364
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 1155.53935616
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 1074.52942804
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 1048.534682
0x4E994Ce46721be14bd14A28e8A2ECAc9f2f8E330 : 1025.88391048
0x83c972ef4a35F842559a915571D380849b1c7315 : 1020.92035637
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 1005.3607211
0x0DDA99029533AC5d5b9A21026361f51722EC8065 : 1000.966985
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 1000.16976405
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 994.18616207
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 993.54977275
0xAC5fD2634220078910eB868566c6E0ff3B56fe8F : 986.39677254
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 902.8849125
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 874.47283306
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 863.26484078
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 818.76504423
0xA010BA70CebC048AB2ac639Aa054bDCef377198B : 805.26511912
0x2C85783bfCFc4382E4e8a10d4119A7efd425157C : 744.46257329
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 740.75327176
0xE21B23844a3f45eee6A860fb17906fb60fFb5e2C : 725.08045621
0xC6DCaAb1B6A5CcD5c20dCE60051EbEE82378165D : 657.74325078
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 639.70593611
0xAf6073928FeA1Cb1E6ADE67d02B5580D1E39D1c3 : 611.87084118
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 602.31514316
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 586.58805763
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 567.58781
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 559.64890626
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 534.15286596
0x9739d674708aE47403Fe9CbdF21721a346574591 : 533.99999528
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 507.52101
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 498.67963204
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 490.99092961
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 459.28517652
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 451.07670498
0xc3D1FA160e74EBd53307B7Ec46132E26b6a879Cd : 425.37817611
0xB2F94c58E21C234486498e860da0304584E0394d : 392.18377109
0x2afFdB3d476E8556224D37996490E8d8b8b8c3Fd : 389.57257358
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 375.93800231
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 374.66812774
0xF12FCF0F8BCe79f619A8cC38Adec5Ca20136A6f2 : 372.56427348
0x21B96812C00F81f66ae1293f68D762a20935326d : 305.95708491
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 264.23598563
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 258.6155342
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 245.21673385
0x45F9C188a212168F8e450597702D0182d0328A9e : 244.00330581
0x9E37DF1A674900037CA40ae95E7393c6777436c3 : 238.44265226
0x1eDdB94ac05042C657C46dB629fa864d673F9814 : 231.99579537
0x23Ff453979B93E3ab1f34142381f05d2B56E5032 : 230.62632691
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 229.17037939
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 228.51088587
0x3c77CaB626403f20E63354715251bf49748CdD0a : 227.70631086
0x9F70CD9441bE2f599f1851e10e14238e0E641806 : 220.81357813
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 213.03412551
0x8894D002b2362B9C3B74aA9e2109A8B49Af7EeF6 : 204.04336798
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 193.90327286
0xd1D08fe9D8b1E019Ad7D2aFCb0D16ECc66204dDb : 193.13818152
0x07Bcb22558932C1f04024e1B972fd1F3D693a52f : 179.0137047
0x6130083289daAE2fF3EFA5703f7F700062f27ce9 : 171.25722034
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 167.01794077
0x7A80D0e7920753B240c615a6a273F79E86c3648C : 164.17399261
0x3C811D6477Dac421CfC5f26dEfdCcdfCBDc02B71 : 160.09389852
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 157.70974332
0x4546F8674327Cc5aFE952d54efeA658e6451dE63 : 149.52213086
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 149.0483141
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 130.87534911
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 125.50131587
0x2CaDeEc28cC599a62326FFb549268464EF938032 : 120.24619833
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 120.2025895
0x47B440b41CEEa0Ad93080C04e8dd15476cd06ECa : 109.25644294
0x2A6aA1db9a2Dc16a818D0F481741dd71489F490E : 107.00943774
0x7aDff1Dc5b78d57Df458b4DB3ED75d2a80382Fee : 106.37477744
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 99.29766562
0x165B3179dE169465EB367D54ff8E109F4C2c68C6 : 98.9471344
0xE952ffe541D1cF7cD66B17a98A737751f5375613 : 98.67709409
0xd2567f9e05e8027186A7552B8c54EE81805e33bF : 98.42023871
0x7f93410CC1E6Ebb22357845D490dF00BCD5BB1Ec : 95.11251509
0x2a838eFfb7Cb23A460a57A50caeB80BF289Aa506 : 94.85864682
0x54dD27cdacDb91F3d54C207F909b4F128d0C63B2 : 94.37317889
0xDA1EBF6dAAa150141C92a0E809747985C0a0C2C8 : 93.40743489
0x132f027f9d1C0856AC298BD35948686b53A1d80E : 93.02810024
0x89a3851eeCC79f2f3eAc951bb143d9A89e31904a : 92.93970917
0xb828812ba9cdB61790dC4238C386294640FA9989 : 80.73219175
0xE8A328939B37cBBcFe31c333b9480B0D81D138fa : 79.03225654
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 75.38394697
0x9FF24fd4236FeFbB362Da00EAaa91d0D5324bfb5 : 73.47003804
0x074426EAc2Bf274F256171d7FeBFba19ecAa1E0e : 64.00557223
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 61.53018532
0x567196F3B71e3Bd13522Be0723209790C5ac3733 : 58.40203416
0x415eb25E7C7d765c77B22E8004F59d05D83353CD : 56.95485201
0x6F58125aA674eB3be074B722cf25BF00BB5bA243 : 54.91142369
0x22077eA2009a66BF099B082D44bf613aBb80dF3F : 54.40879182
0x8b039453422d9dc724Bd3c5e7E4911827224D80E : 53.34442937
0x22d2C305a1A2EF31155aC566ADFB841A2758C88d : 50.41908653
0x64D8E328B2b3784cCBb882C4136872c9ed01B521 : 45.43792547
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 43.42430682
0xCc2B94FBA375c05757B2d91ae1a5c55f9D439721 : 42.11570431
0x528428504d0EEd9846D13725298805C569e2B2d6 : 41.5024761
0x419CdE295fF18A1ec9cb5e9b781215480FC0d099 : 40.00125444
0xD486c4E0C03F7111bC57c0557D505C6dcE058FcA : 38.26546115
0xbFbb9D16B54dBBbfE6B5314e76C00d9C406d6F1f : 35.37345745
0x6bAEAA00437E229f6642fD5f15Ff8EA0E2f77Ff8 : 35
0xa4ab0E2884E9AD61a5Ab3F5E0748B56AfCd1673f : 32.0353495
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 31.84474716
0x46f5d25Cf08e7C182A2365d71Ae00Ab437C7103F : 31.26682359
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 30.97229094
0x9b977FF6B1DDC747EcBB8Cdab2c750230aC08888 : 28.91276629
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 27.87828285
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 23.43940813
0x714d5A6cD567323b1c473d17cCa258ac59D58f84 : 22.8840879
0xb8C7f7A6dA0825Fe4C613EBEDf7a770C2469f09c : 22.52650621
0xaCb61bDb9B92FD3Faa051f8C1a67296F5143E4FA : 22.39844548
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 18.55469812
0x5012D3291A9188E95C204D29aD2F94E783A1f8fB : 18.16520449
0xDB5f2319Fc6529771F3a87292545F28088878947 : 13.80034054
0x188528351E2A1Db2a1F43f8dcdF2b9F2239f4C26 : 11.88189329
0x4f4181E585D135242FAfA45dC21066a2C882613c : 10.90570689
0x4d3d5DED0453a890933386b1630e49A509581e2F : 10.19622361
0x33E9027788ea9cB434c85F34096D7726e11D4504 : 9.1551564
0x6178797Ed0F7A97CBB3Fdda78810e9b0833f7F6D : 8.70058112
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 7.78861854
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 7.62155849
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 7.09256868
0xB86C9298A9A1a7E15ca98F20791D99a6846F0A3E : 6.91567499
0xd69eF0dE938de7eDF89982CEB094a2baA5b8E2B9 : 5.92988517
