Mintopoly Money Airdrop (250,000 to the 155 contributors)
https://polygonscan.com/tx/0x39f0c1416ebb66e6e4cf378c48cf84e7729d5814c7c96d6fcc79c9473777a250

TOKEN ALLOCCATION
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 5000
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 5000
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 5000
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 5000
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 5000
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 5000
0x36cb7898012E3B19070554BE377f7C0E708be229 : 5000
0x2a838eFfb7Cb23A460a57A50caeB80BF289Aa506 : 5000
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 5000
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 5000
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 5000
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 5000
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 5000
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 5000
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 5000
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 5000
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 5000
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 5000
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 5000
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 5000
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 5000
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 5000
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 5000
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 5000
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 5000
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 5000
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 5000
0x83c972ef4a35F842559a915571D380849b1c7315 : 5000
0x07Bcb22558932C1f04024e1B972fd1F3D693a52f : 5000
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 4941.92466416
0xD486c4E0C03F7111bC57c0557D505C6dcE058FcA : 4883.3470399
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 4853.57558288
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 4606.28779321
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 4575.63663467
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 4531.12085847
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 4521.90661113
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 4132.10912662
0xAC5fD2634220078910eB868566c6E0ff3B56fe8F : 3551.06821346
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 3404.02351539
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 3305.63968684
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 3281.46720606
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 3088.48361975
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 3035.9111625
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2919.09720386
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2514.86476476
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2459.91112045
0x45EFf28AAf3C6Feb4AA10bAB9f3eB191D0Aa6508 : 2082.45381075
0x1eDdB94ac05042C657C46dB629fa864d673F9814 : 2003.50094753
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 1932.01725902
0x2C85783bfCFc4382E4e8a10d4119A7efd425157C : 1827.28980802
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 1703.87470732
0x3d8D0a95D9962cCeD171776f667f5dD2A1AC8fFe : 1651.29645701
0xE8A328939B37cBBcFe31c333b9480B0D81D138fa : 1575.55627448
0x6726d208bA943B20933491FF004AA7188b70ae79 : 1536.77568718
0x45F9C188a212168F8e450597702D0182d0328A9e : 1528.59828848
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 1377.99695317
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 1072.82763173
0x23Ff453979B93E3ab1f34142381f05d2B56E5032 : 1056.09664492
0xF12FCF0F8BCe79f619A8cC38Adec5Ca20136A6f2 : 1054.73990381
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 1030.67296736
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 889.25905158
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 864.0903027
0x9E37DF1A674900037CA40ae95E7393c6777436c3 : 839.57444474
0xE21B23844a3f45eee6A860fb17906fb60fFb5e2C : 806.49171093
0x9f73b2694C701Fb8Ee6c4557f4BFea8A60d182C1 : 787.79227253
0x772163b64A0589b0e8Da5d9D13646dba41cc7f26 : 769.52877202
0xeE42298Cd1f99721121b15C60e42544F026A6b06 : 734.32962746
0xc3D1FA160e74EBd53307B7Ec46132E26b6a879Cd : 714.3854484
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 671.05187307
0x9739d674708aE47403Fe9CbdF21721a346574591 : 651.70684413
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 620.98537747
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 591.58661639
0x964167209C71a0d45d89469C118213884C232054 : 571.96534471
0x8894D002b2362B9C3B74aA9e2109A8B49Af7EeF6 : 562.04510986
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 523.8838872
0xb828812ba9cdB61790dC4238C386294640FA9989 : 518.88336743
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 398.63389144
0x7A80D0e7920753B240c615a6a273F79E86c3648C : 396.91750466
0x2afFdB3d476E8556224D37996490E8d8b8b8c3Fd : 394.31344341
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 387.29127205
0xAf6073928FeA1Cb1E6ADE67d02B5580D1E39D1c3 : 342.26718058
0x8b039453422d9dc724Bd3c5e7E4911827224D80E : 325.40784073
0xDA1EBF6dAAa150141C92a0E809747985C0a0C2C8 : 324.27967584
0xd69eF0dE938de7eDF89982CEB094a2baA5b8E2B9 : 307.34685757
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 304.85650752
0x3C811D6477Dac421CfC5f26dEfdCcdfCBDc02B71 : 278.03637912
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 275
0x3c77CaB626403f20E63354715251bf49748CdD0a : 240.43578594
0xE952ffe541D1cF7cD66B17a98A737751f5375613 : 209.29769062
0x6130083289daAE2fF3EFA5703f7F700062f27ce9 : 201.73976545
0x2A6aA1db9a2Dc16a818D0F481741dd71489F490E : 192.4217309
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 173.16451124
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 172.67350903
0x0DaA9d16c4e201857f9F0B34e198e14Fe874Ca72 : 172.66883377
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 168.6980471
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 165.59587139
0xC6DCaAb1B6A5CcD5c20dCE60051EbEE82378165D : 163.3179179
0xCc2B94FBA375c05757B2d91ae1a5c55f9D439721 : 162.81988464
0x0f0cb57Af59F3ce0293c78E2634C349E4E27B177 : 157.49999843
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 155.11942318
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 151.92043296
0xa4ab0E2884E9AD61a5Ab3F5E0748B56AfCd1673f : 136.00077276
0x21B96812C00F81f66ae1293f68D762a20935326d : 122.2624737
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 120.03973495
0x6178797Ed0F7A97CBB3Fdda78810e9b0833f7F6D : 119.33386734
0x714d5A6cD567323b1c473d17cCa258ac59D58f84 : 116.21971336
0x64D8E328B2b3784cCBb882C4136872c9ed01B521 : 79.59720451
0x419CdE295fF18A1ec9cb5e9b781215480FC0d099 : 76.65947657
0xd1D08fe9D8b1E019Ad7D2aFCb0D16ECc66204dDb : 74.40552337
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 65.74611649
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 63.73446054
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 52.4316359
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 41.72286798
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 39.18029978
0x9FF24fd4236FeFbB362Da00EAaa91d0D5324bfb5 : 36.75608446
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 36.61422215
0x487a4f59fee68fAfB992d6eFF6f98996Fd1fEC6f : 34.5220106
0x132f027f9d1C0856AC298BD35948686b53A1d80E : 33.10468896
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 29.51518896
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 29.33466216
0x9b977FF6B1DDC747EcBB8Cdab2c750230aC08888 : 28.38523313
0x33E9027788ea9cB434c85F34096D7726e11D4504 : 25.03613974
0x7ba86A4E169795b2b65083D12639BEC5A9d7786E : 20.23180917
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 18.12106261
0x2E345bc15779ce08944195912fd759ef9ddCE9B5 : 17.13798236
0xFd2D893BAdD02C0E50CD2787886a77FbbaDa4674 : 16.59279331
0x57712866fe368f468ce1Eb02928228eF9767EebF : 14.30625132
0x6b9dB0f8D5D0bcb76AB45Aa0218f4314Ec645B19 : 12.63430187
0x4E994Ce46721be14bd14A28e8A2ECAc9f2f8E330 : 10.64623573
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 10.42403572
0xfcd503a5fE0ECCa39b4C9DF6365Bd09F7c494200 : 10.41365618
0xd201EB28904C06Ed1dfD7E8176Bdc6D34af9168C : 9.70603338
0x6d219b8Bf26Cf1d13Eff93794E06e5ba767b2B5F : 8.1977122
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 7.85136358
0x6896D7966CAF8006B5378CBfc98a2902f6d64487 : 7.59267145
0xaCb61bDb9B92FD3Faa051f8C1a67296F5143E4FA : 7.50209316
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 7.42632774
0xc5602036c376D4BBFb10C5A3000620Fd37b982C2 : 7.09612914
0xcCD5260CfB6aE181bA105f37F2856CF4dD5D4D2A : 5.55062945
0xd2567f9e05e8027186A7552B8c54EE81805e33bF : 5.43982195
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 5.428505
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 5.2841595
0x06E3Eac188290d1dFfc2BdB906300acc136f045f : 4.34408608
0x4b66334fbfA6dd5F5F45b64e33f9695162070397 : 4.26213328
0x415eb25E7C7d765c77B22E8004F59d05D83353CD : 4.0575486
0xFccC2da0e053e041b581D087558ae705C9EdbeF3 : 3.72941488
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 3.38860887
0x355fa8feBCFb3aa7BF5579Ae08c770903D8C2faA : 3.25095363
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 2.92652667
0x165B3179dE169465EB367D54ff8E109F4C2c68C6 : 2.544251
0xA010BA70CebC048AB2ac639Aa054bDCef377198B : 2.06463421
0xbFbb9D16B54dBBbfE6B5314e76C00d9C406d6F1f : 1.28862933
0xE21dEc4C014D5Edb3aE187d7cA4620ed7c32Be8F : 1.10361515
0x0E2Fa9602A778438dd12Fe958573ED7A7845dC31 : 1.10292358
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 1.02778601
