Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x02d0c2f13a38b57080baf41ddae783b7271d68a935e382418a557c0255a9b8b3

Moon Base (Top Place)
https://polygonscan.com/tx/0x13ad3398d748d4aa4f05d57e5abf879a7f1d77add0f37a5d3a32005c2b2fa685

Side Comp Celeb Evangelist [Most Combined Mining Rigs and Validator Nodes]
https://etherscan.io/tx/0x6eea4923189914b9e5b467d2ccd230e3cb226e45e876f227396314d8803daa3d
https://etherscan.io/tx/0x645e60deb7ab4307ddda098795e0eef7509f24f916dd0dca487ff9130a682702
https://etherscan.io/tx/0x6dc12211df8963e4f45c85fc6c6c462cc903c176ee7a64a83fb0b0fbd55021ab

TOKEN ALLOCCATION
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x10992b978435f7DE7DfAfB90A2162129aF68A851 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 2,500
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,500
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x2F266A68b74F7F5A920840ad7c6f3fB0c0df5438 : 2,500
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 2,500
0x5d03622119E61720e372F47Ed4F91819654D814c : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2,495.79
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,488.67
0x1fB849cfbA73AB15d6333fD665D517d5190c7C38 : 2,460.87
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 2,399.01
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 2,380.21
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,263.47
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,199.32
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 2,194.12
0xE0dd81c5a4130f478f8014be318DDd1f923eCE42 : 2,121.55
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,055.28
0x691b189789e777242508096644D1E1CD6d63D2FF : 1,920.23
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 1,884.75
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 1,860.37
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 1,843.74
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 1,832.61
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 1,814.37
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 1,752.24
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 1,698.5
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 1,664.31
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 1,588.04
0x113f1177e9C642Cc139f30c8EE64052A5Be3831d : 1,576.88
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 1,564.52
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 1,561.71
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 1,526.67
0xd9a639AD0BC11803fFDea984637B09C07cBad47F : 1,488.89
0xF0089fFeb68FadEc1e16089D82a567751A030821 : 1,397.03
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 1,388.59
0x3c77CaB626403f20E63354715251bf49748CdD0a : 1,370.28
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 1,369.02
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 1,345.62
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 1,302.81
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 1,189.45
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 1,167.96
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 1,141.44
0x6726d208bA943B20933491FF004AA7188b70ae79 : 1,086.35
0xB927DbE7dCe2F348273412DC14e1Ab9D083dB1C5 : 1,060.36
0x6896D7966CAF8006B5378CBfc98a2902f6d64487 : 1,025.4
0x245Ab426A39Ab67E7969aCFcbCC6C93180Fa6e2b : 1,012.48
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 1,009.77
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 983.13
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 933.39
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 866.08
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 830.63
0xc6E97134Ca20966E83f7CC2921E0Aaf7F67E5239 : 824.08
