Mintopoly Money Airdrop (1,000,000 to top 200)
https://polygonscan.com/tx/0x5f23bfb8b27098c42d8a8c0694dcbcfa92e756e359db758d0d647f10da70fcf4

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x01f8ebb2c00200607b05f3cc135ffc5525b4701e816773c26c951a2d6302ef46

Closest to m100,000 without going over (Smart Contract Bonus)


TOKEN ALLOCATION
0x83694b5ce034CD7F664b28e1c69FD9D2b35BD1e0 : 10,000
0x0dd761060aDba486CAa5CcE2B57Ba8445986851d : 10,000
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 10,000
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 10,000
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 10,000
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 10,000
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 10,000
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 10,000
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 10,000
0xc9fd5738000ea48db200ac05cC46D5C97A9e3C59 : 10,000
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 10,000
0x0C633753fA7a8E5143176090AaAf0F35b12cC60c : 9,136.01
0x601CC830c38c4b93551E66909ABB07f012Ce0ddF : 8,850.44
0xf91dAb53547F74e8b8904cAcc5b50D94Be4ccfbA : 8,822.75
0xBc38a49eFb7a23FCDD2A9878CE67c463a23df86f : 7,677.17
0x68Ee4339A4E0629aA206bE16387cd10fB75F3F05 : 7,584.01
0xF0050778D056A8Ac86a163FE6C3a1Ef56Eb4B868 : 7,538.21
0x9A3B752F915863c65f374Cc2d0439Ca34594516c : 7,522.27
0x3BD7B7FB8056cC1BCE16D6D008936BD7af0CbE25 : 7,327.24
0xc7B529442c6D52E2f0a8f93097a3D7319b5BF575 : 7,256.08
0x23036bb9A9E11AB928B58a5ba2BEb239474a3063 : 7,044.25
0xE0dd81c5a4130f478f8014be318DDd1f923eCE42 : 6,800.17
0x120ee01E847ABfB15FFa91F89F2403d7c51C4Db5 : 6,743.41
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 6,667.32
0xc6E97134Ca20966E83f7CC2921E0Aaf7F67E5239 : 6,626.55
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 6,603.64
0x51064563ED35a1255F9282D5dd72755bDf812247 : 6,439.52
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 6,361.56
0x6bECDFC07c8313D21e6AB44d166D6697596c23b6 : 6,331.42
0x8d8be93572080dcC63f9e285a84235b2D74ecc66 : 6,221.21
0x1B0eCe5163bb96Af1adB59D856A21A79B5B7eafC : 6,220.6
0x53D18451433F4a0e72BD4BaDb9fA89251ac052a5 : 6,213.31
0xE66A702FC2D54bc1162f6fb32B85cc21e1594C4b : 6,203.98
0x1FD470A7d56b7E2443c6fca322D9985274F3db1C : 6,133.31
0xd1DD2e2B705A5E5a5fDa2B14259C476eF687ed3A : 6,041.04
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 6,004.49
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 5,963.56
