Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0xed25e9589fca2a704b8a43a0bb619576245ebf8a0eeb58397ec0e7142bf38045

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x2911e50ee298b9a977016d1e31e545340932d8f080bbcc5587e1cdbfd7b93771

Yield Farm Card (2x players with most total investments owned - all players & those with 2 cards or less)
https://etherscan.io/tx/0xdd52417c2dd4340d514f9f03a1a151be6f85af55e521e8dbf8f6dcf94df5f0fb
https://etherscan.io/tx/0x60ea9e253f649424c765d53e1c7a1152260294a7c9fa3c6c031e493d73c686d9

TOKEN ALLOCATION
0x89830F1ebffAb4899D7712a8ab6fDE1F51f20f18 : 4000
0x0dd761060aDba486CAa5CcE2B57Ba8445986851d : 4000
0x9A0b1B23Adc822CBA058E7825D2D00E707cc756F : 4000
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 4000
0x74c1a59D9eeA9cbcD144b08d04C797403623e277 : 4000
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 4000
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 4000
0x0C633753fA7a8E5143176090AaAf0F35b12cC60c : 4000
0x25b335f53e3E09D854a125C36FB9bC722C743ff0 : 4000
0x7E03d22777Bfb569A62E1A04Da24546D925f44D1 : 4000
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 4000
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 4000
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 4000
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 4000
0xbaA79A37342562784d5758fdfA3202BbD1Af1189 : 4000
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 4000
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 4000
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 4000
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 4000
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 4000
0x83694b5ce034CD7F664b28e1c69FD9D2b35BD1e0 : 4000
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 4000
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 4000
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 4000
0x02Fa741C2a038B421CA26d4Cb6f99887AF784f94 : 4000
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 4000
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 4000
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 4000
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 4000
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 4000
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 4000
0x0DDA99029533AC5d5b9A21026361f51722EC8065 : 4000
