Mintopoly Money Airdrop (1,000,000 to top 400)
https://polygonscan.com/tx/0x715b0f291209c3de45ce0871b83d1dd060ae018078f27abd495d996b9efa17ec

Mintopolist Card (Top Place)
https://etherscan.io/tx/0x328ce443a3941c3e53b0fd3eafdf61439f763cd566bc7adea8700d185a0b20fd

Wall St. Banker for most combined rigs + nodes on msytery block (13,000 chosen)
https://etherscan.io/tx/0xb5b6b9b328c9f2b431e7a51338f48d60d2c2c600cfc5b9042d8a7b74de583ac3
https://etherscan.io/tx/0xc3167367e37594605e6d747bad70d5d930676c9b3d31f7c8dc17dda7367d8a62

TOKEN ALLOCATION
0x89830F1ebffAb4899D7712a8ab6fDE1F51f20f18 : 10,000
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 10,000
0x0C633753fA7a8E5143176090AaAf0F35b12cC60c : 10,000
0x9A0b1B23Adc822CBA058E7825D2D00E707cc756F : 10,000
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 10,000
0x25b335f53e3E09D854a125C36FB9bC722C743ff0 : 10,000
0x7E03d22777Bfb569A62E1A04Da24546D925f44D1 : 10,000
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 10,000
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 10,000
0x83694b5ce034CD7F664b28e1c69FD9D2b35BD1e0 : 10,000
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 10,000
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 10,000
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 10,000
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 10,000
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 10,000
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 10,000
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 10,000
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 10,000
0x02Fa741C2a038B421CA26d4Cb6f99887AF784f94 : 10,000
0xbaA79A37342562784d5758fdfA3202BbD1Af1189 : 10,000
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 9,899.71
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 9,458.7
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 9,438.32
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 9,303.95
0x190AFf7118Af1E979a334BbEdae1f9B44E6239D5 : 9,019.06
0x74c1a59D9eeA9cbcD144b08d04C797403623e277 : 8,705.57
0x7287d9E20f41599aa961bDAD56ADF34b76a334d5 : 7,465.93
0xAbD3674AD483Fa3CAC28BaBc3ef65A91658f219d : 7,239.77
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 7,067.29
0x7F9C121ceA488C583E6930c18D7D915d639842bD : 7,003.7
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 6,971.45
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 6,862.39
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 6,721.74
0xDEdaDE301A507854431a7f742D42200D35262cED : 6,392.35
0xc70c4F144CbB415843478CE74C9cA2B59927F717 : 6,384.25
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 6,239.46
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 6,239.42
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 6,231.15
0xAC5fD2634220078910eB868566c6E0ff3B56fe8F : 6,098.15
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 6,061.11
0x9A3B752F915863c65f374Cc2d0439Ca34594516c : 6,019.8
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 5,964.51
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 5,962.9
0x964167209C71a0d45d89469C118213884C232054 : 5,961.55
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 5,926.8
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 5,774.61
0x6f93a3c63a7fB1C267074fa7c7A6E65437Ab8203 : 5,707.92
0x3a149097e4B3A778D55d2e5d2d9A0bA7C74DBf41 : 5,468.64
0x6b16b1c1BEad3A11b7A879B5FCc93C98E88d39f3 : 5,464.76
0x32e3E27A396f00B5b17143bc1e93239a843Dcf9b : 5,462.78
0xb5EE4AD4c9c16D0D7940696DD2A113F9b0a4332D : 5,431.3
0x2Faee2879D3cE954e9dce9f2e2baEd755E18d531 : 5,428.62
0x69558e40845728113659b868d60fd70DC5c52690 : 5,427.43
0x17E6E0F56f3e34aF5346aFf1291cea638189518a : 5,417.2
0x702Fd534CdBa1F03506398C1b9Ce15e48f39D194 : 5,416.13
0xC90e8F94aA5697d83de32cdECC22Ae9d69D21F14 : 5,398.24
0xc7c30623D2777759b2C721d228B0ED8372dCa78b : 5,388.33
0xda150bF2e40483e2355Dea55F5A413e18C842970 : 5,376.07
0x162bE525D19ce1a1f751436CC4306E105F322599 : 5,367.68
0x2bD906d3d2f9B724Ff45eaDCF4A3F115FFf05459 : 5,360.76
0x178d761aF5F208D0E42E056b0458F57aEe6A8B2d : 5,357.8
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 5,335.13
0x6053bCbF9A43547E1Fb9D2FDc38dc0a613fAeE32 : 5,308.34
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 5,273.74
0xe4447DF097C0550bC60B162FFD595fb357DB4163 : 5,272.19
0x1162B08c668e5C7242BcCDE361143e3702B4A522 : 5,254.83
0xAe4c4Ae3B52e337b33e191dF12c24065CDeD298f : 5,232.12
0xbFbA777a1951497373f841Af9a9E35F67c20ba9b : 5,203.29
0xd415965958072018668f323488B77d7447b316a4 : 5,193.11
0x5f42c691D1eDFdD615C25e0a68E2d421278AB807 : 5,188.04
0xb76f96D5013eff8885248d19afc36736Bfd883d4 : 5,183.17
0xf7D61F264279d4e13E96Ce4AD08c85C50A9a9871 : 5,170.09
0xc03De5ec0c0B44e5E7c7823A8F6b57C91b37D35C : 5,167.68
0xe6B3800BEbA34c0A6A4Ff6730Afa69CFBfB6fAe5 : 4,827.15
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 4,716.99
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 4,624.23
0xb2E76C1C7B18daAB0d80cD6d98d975E2C3F25E69 : 4,538.52
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 4,406.02
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 4,318.66
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 4,309.07
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 4,284.54
0x8eb64269Fa99144b079B0066C082a48ed5497401 : 4,207.71
0xd19749459dDC95FfC1EAc371b3D20792E967F1D5 : 4,199.89
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 4,087.25
0x341f00c1b2B236EF26527590EC62F5960A356052 : 4,055.66
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 4,048.15
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 4,044.66
0xD6d90AdC546dD74f3Adb85b3b17A3a7677A8E3Ef : 4,039.25
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 3,850.32
0xF71478806755326018D2F919bD25b47254884dd7 : 3,836.74
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 3,813.91
0x6C0f61Eee29242cFF1C89adCC279C83563dA828e : 3,812.57
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 3,721.96
0x487DBdb932b100a126bAfDd15a0A71bAF5673057 : 3,705.79
0x43b33439696d0C3a66E8e99a23e1BDc3f85c743A : 3,693.2
