MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0xec9e38c6ee14dc523a966ba3e7db02697fb5a329e1cc4f45cfb3a572db856af5

Moon Base (Top Place)
https://polygonscan.com/tx/0xceb70c96b83ff66aa9a0812039760053cd15e80d64a859078723db2d927f6a8a

Celeb Evangelist NFT (Most ALL Investments with 1 Hard Fork)
https://etherscan.io/tx/0x53001e775c765618ff10de95ede36d92b9d74e6af812e2b39a5e26e419276e28
https://etherscan.io/tx/0x7ad7c63e4a79c6aea63779298edbbfc4d51ceb835344cc2e3d0eda97e2f00a18
https://etherscan.io/tx/0x4e5da5a90b62eadea74d919efb0209995d632b9c8244da27583509777285927f

TOKEN DISTRIBUTION
0x89830F1ebffAb4899D7712a8ab6fDE1F51f20f18 : 2,500
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0x0C633753fA7a8E5143176090AaAf0F35b12cC60c : 2,500
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 2,500
