MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x4d224809a6a3440179572324e05aae9456cbabe7386c93392baf645c25174a24

Moon Base (Top Place)
https://polygonscan.com/tx/0x5894627a41ae0e1974139f7f54dccbd81380d054e854196696bae5ceac4265ae

Crystal Ball NFT (Most Oracles with 1 Hard Fork)
https://etherscan.io/tx/0xa694be7a418bab6bb1a82613ce4d958d845e1bcd1fcd5edfdea149cd7cb22256
https://etherscan.io/tx/0x7d0d4fd98e05a71d09faf640cb2fec0bd24c501fce60fd5b541d762dbf95e76e
https://etherscan.io/tx/0x54369cf99b202fc9ab4dbf1098511784ffb27279742a7e646f0a4836052c3e4d

TOKEN DISTRIBUTION
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x83694b5ce034CD7F664b28e1c69FD9D2b35BD1e0 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x0C633753fA7a8E5143176090AaAf0F35b12cC60c : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x73e7172a6D1CBF05Abb6D3Dd325C8544469D5d09 : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0x98edEe1C13B73f26494eA1a4C998B560c1737cCf : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 2,454.54
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 2,430.33
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,414.37
0x6C0f61Eee29242cFF1C89adCC279C83563dA828e : 2,406.98
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,404.09
0x9B33AdFa30D6bf19f213047D5DDA69a5C5229C51 : 2,391.32
0x5f42c691D1eDFdD615C25e0a68E2d421278AB807 : 2,385.62
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,370.4
0x426605e881F6Dd25454DACb7a2345aE0b92B2354 : 2,365.05
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,353.36
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,334.58
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,313.98
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,296.81
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,288.71
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 2,261.31
0xb76f96D5013eff8885248d19afc36736Bfd883d4 : 2,251.43
0xB648A452D4c329fDeB1f8f302e7Ae1a11ad0e420 : 2,201.47
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,162.98
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,161.96
0xDB5f2319Fc6529771F3a87292545F28088878947 : 2,148.12
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 2,136.52
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 2,106.01
0x17D9C051F87C4A685dB7F84B54b78d61Ec474090 : 2,027.6
0x11BA31A6baCa2C42002c134B028383916E520B0C : 2,024.86
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,009.48
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 1,991.04
0xFada42d241C9a4dF5a4149B4969aF9EBcDffE3dc : 1,986.14
0xDc917e79F85Ae4Ad46284Efdec520b21A5a52E7f : 1,928.08
0x9e1EA9a3D5fC5e85f6F7d0A202BFCc3e3FBaeDc5 : 1,906.13
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 1,902.23
