MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x05554d90969f34db3f7619dbc0e0f11dd71342d23355ef07253dec1a61c00aac

Moon Base (Top Place)
https://polygonscan.com/tx/0x1651cbe82dd1362e17ec6fa939fc3c7bfef98fc59b9d19e8e97270e82ae22797

NFT Artwork Card (Highest Net Worth as a Palindrome)
https://etherscan.io/tx/0xb28df5798ac968ff84be4d0e70ac9f820b6aeb15191a6ccd284d18e60903c902
https://etherscan.io/tx/0x08948fd45ddf7cb56e4d0563c685d9352d5cfef12ab9a7d4a2e492aa25de4c1a
https://etherscan.io/tx/0xababacc0eebf4239b477a145769b5b0a0db1e058a53750557b9e38a0e7021fda

TOKEN DISTRIBUTION
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 10,000
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x83694b5ce034CD7F664b28e1c69FD9D2b35BD1e0 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x73e7172a6D1CBF05Abb6D3Dd325C8544469D5d09 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xAC5fD2634220078910eB868566c6E0ff3B56fe8F : 2,500
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x0C633753fA7a8E5143176090AaAf0F35b12cC60c : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x4E06ED60d6824FB7bF145B0311DB3405B2a96B39 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
