MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0xa4fddc00d72532f1b6d48c98d02bad1d5e976fc1a49f4f050b8695ab0a01155c

Moon Base (Top Place)
https://polygonscan.com/tx/0x66a4579b0aba4fb791d6a56627287d1c45060d93104a7b04a20d7c0b2330a161

Yield Farm NFT (Highest Net Worth as a Palindrome)
https://etherscan.io/tx/0xf5810da804892f385d6a284150dc09ce873584cf3d0bf8b2b5fb741ce2431bef
https://etherscan.io/tx/0x05cbfa60810140dd3057d892732dbc8321741d08f19cbd3c91eda83d71a72f58
https://etherscan.io/tx/0xd42e37d116adbcb1a632fe3843da5e345f97a9259e365b46c705229d29652901

TOKEN DISTRIBUTION
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 10,000
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x83694b5ce034CD7F664b28e1c69FD9D2b35BD1e0 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0x0C633753fA7a8E5143176090AaAf0F35b12cC60c : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 2,500
