MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x30207d3d849c379d4472355c4aed6ada51f9ce77284e14e5e21cb90b9a0631a9

Moon Base (Top Place)
https://polygonscan.com/tx/0x66a4579b0aba4fb791d6a56627287d1c45060d93104a7b04a20d7c0b2330a161

Dapp NFT (Finishers in places 50, 75, 100)
https://etherscan.io/tx/0xd266e5c535c211b5121a3802e267d5d8ab59f789b2be9e05772c05c675d428e2
https://etherscan.io/tx/0xebc81c5e99ee78f94791c9c6d62209e00ddc76b7befea94fd8db765cafe238d9
https://etherscan.io/tx/0x56fe94b06fa4be2e4da1b6e6a148924267783e4c11ea4f45ae226a7e2b35c05c

TOKEN DISTRIBUTION
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 10,000
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,500
0xebE2f6278F8382D16855cf4c441858973329527f : 2,500
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0x601CC830c38c4b93551E66909ABB07f012Ce0ddF : 2,500
0x73e7172a6D1CBF05Abb6D3Dd325C8544469D5d09 : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0xbe9A31c7505DA8d0eeBCFe6C0F3e270eCfFfc54f : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
