*NOTE* 
Airdrop for Round 56 were distributed based on a snapshot at block 13,000 due to an error with the MNN. All other prizes were postponed until Round 57.

MINTOPOLY MONEY AIRDROP (250,000 to top 150)
https://polygonscan.com/tx/0x62283f43fb14e8a43a71f6808e36962cee778817b16bde6a82def27b3f314641

TOKEN DISTRIBUTION
0x0E2Fa9602A778438dd12Fe958573ED7A7845dC31 : 2,500
0x5612B0471864193716d19C85094f773C34a90340 : 2,500
0x6726d208bA943B20933491FF004AA7188b70ae79 : 2,500
0x544Af9083a56820eA0D5bBe8304d462098a506EA : 2,500
0x9b977FF6B1DDC747EcBB8Cdab2c750230aC08888 : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0x7A80D0e7920753B240c615a6a273F79E86c3648C : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x519aC19359C56b7586290159DDceDFddDA97d40E : 2,500
0x2caAFfeD57c120BF27EFCcE384d1F7E0D8E9aAdd : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 2,500
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,500
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,500
0x0FC471D994D62A846ACAc7e01105f98ac75cc3b3 : 2,500
0xC45c5cF4aE8FfC576F5D6886ad6cF4Ef8640C129 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xFada42d241C9a4dF5a4149B4969aF9EBcDffE3dc : 2,500
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 2,500
0xFEe740FB924b7E680581593Db068aC0dc9CE9250 : 2,500
0x18b974360C6261C0eE9F87A04DA5E9B2f4447378 : 2,500
0xB05822Ce685C60bA71B16d9E0ab9f7Aa57cA0bbD : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xFB03A54CE24CBD74B8793D1CB1f8CD4154F61Fae : 2,500
0x17Cb0961F3A7d85930C283773E8e987c18f1869c : 2,500
0x9f73b2694C701Fb8Ee6c4557f4BFea8A60d182C1 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xd691Bf2cAB87d05cEd8d3a7748b796Ea96AcbE51 : 2,500
0x4b66334fbfA6dd5F5F45b64e33f9695162070397 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xFa42eef6a50Ee60A1f37479d47ee739EF3bd501c : 2,500
0x26B207a46f60C81037F2C597D52cc74881E694C9 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
