Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x937a37ff2a77e65ae05926b9cdbdb10e14a28f65a9a914c94aaa216cc7e1b90d

Moon Bases (Top 2 Places)
https://polygonscan.com/tx/0xeb001a9dc138b08405c143fcb505eff471043dad15e3163c807c1617ffe77cfc
https://polygonscan.com/tx/0xfda82fe43627605b30e595c7a67e1090e2d9eeb9a2361808dd15c76dab5904d8

Side Comp #1 [NFT Artwork]
https://etherscan.io/tx/0x01a9031bd390f6af852f4245907b9c64518179063246a5a082b39132bce7ab6d
https://etherscan.io/tx/0xb83a3637947d38ec30c1b57817b3cb87c5c62d0de276cae4b3cee6f56310e9a0
https://etherscan.io/tx/0x50b49f378f72e83efdc5faec1cb0e860bec4b89c569ea026917bd779ed84cff1

Side Comp #2 [Smart Contract]
https://etherscan.io/tx/0x4826177edaadca2e558a25700296f794d4dfddd593ebf27846c96d97f9181fe8
https://etherscan.io/tx/0x5dbed9b23cf290e35aebf0cea51a70fc2363386945b63f1cf40b4eeb9e8330dc
https://etherscan.io/tx/0x94eb8603223fda41f80a6b77371900f67548651aa101f47d2be10fed8bf6cecc

TOKEN ALLOCCATION
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0x98edEe1C13B73f26494eA1a4C998B560c1737cCf : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0xbe9A31c7505DA8d0eeBCFe6C0F3e270eCfFfc54f : 2,500
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 2,500
0x487DBdb932b100a126bAfDd15a0A71bAF5673057 : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,493.95
0x964167209C71a0d45d89469C118213884C232054 : 2,470.75
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,401.81
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 2,306.42
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,293.61
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 2,273.58
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,252.11
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,223.32
0x50d084867477065f9A3c279eB6DcEA55A142ae81 : 2,205.72
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 2,202.51
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,176
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,164.27
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 2,070.17
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,057.53
