Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x8083d939e746a8902198d254020ee56bafdd07b08181df71d890c547b0dba7d3

Moon Bases (Top Place)
https://polygonscan.com/tx/0x3ee6655f546990718bb1740445ccde8f6cbafb8de08f279632756b1a210a1883

Side Comp Dapp Card [Each Investment Tier Double Previous]
https://etherscan.io/address/0xc9f9b9095da3009c7594e6387a08b000709ce433
https://etherscan.io/tx/0x8629521d131d28e2c293f249f03cfe38e999f3d7717aa22fabd96b80321c2bbe
https://etherscan.io/tx/0x67c18fbc61fe25f54eb81391fc5d35f6244cee81970f967a5dc2f20e925061ed

TOKEN ALLOCCATION
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0x2F266A68b74F7F5A920840ad7c6f3fB0c0df5438 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x7e717DaA50a000b555279F067D3ac25a09ed9ED9 : 2,500
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0x8853d9c395169E3db11545718a385Ead8675b419 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0xbe9A31c7505DA8d0eeBCFe6C0F3e270eCfFfc54f : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,490.84
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,469.32
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,460.56
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,446.28
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,410.7
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,375.46
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 2,291.23
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,176.61
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,145.51
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,131.91
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,039.25
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 1,972.43
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,965.44
0x51064563ED35a1255F9282D5dd72755bDf812247 : 1,953.29
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 1,949.35
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 1,871.1
0x341f00c1b2B236EF26527590EC62F5960A356052 : 1,863.15
0x113f1177e9C642Cc139f30c8EE64052A5Be3831d : 1,840.25
0xb828812ba9cdB61790dC4238C386294640FA9989 : 1,811.58
0x4FB580434729dcB61f0214D5fB0A1b94bf3a6105 : 1,775.99
0xF0089fFeb68FadEc1e16089D82a567751A030821 : 1,742.92
0x4B5663BA11211f0CE3Faa16961e17323FbaE4AE3 : 1,735.08
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 1,654.37
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 1,616.96
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 1,586.6
0x7C9AE4566c35dD57663Fe1530fAb0809f52f1948 : 1,478.07
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 1,406.62
0x305B359001445f52911a3CD7e30c9883125fd46a : 1,368.49
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 1,360.67
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 1,321.06
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 1,244.5
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 1,237.12
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 1,233.48
0x5012D3291A9188E95C204D29aD2F94E783A1f8fB : 1,229.87
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 1,204.09
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 1,147.05
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 1,083.22
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 1,068.29
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 1,064.6
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 1,058.12
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 1,051.22
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 1,024.67
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 1,007.57
0x52Fa3C236C9643236c30ca05B41bB6D960472057 : 969.48
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 930.14
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 913.11
0x8Ec939a1d2BEcf0CDa702CC55a798d79a7ac25EC : 912.9
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 885.27
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 853.89
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 846.47
