Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xb63c098fca6e018feea64071352ccc8b0b44af36350f4ab4e593ed44b9e5aeeb

Moon Base (Top Place)
https://polygonscan.com/tx/0x2817d5d0ab0686ba7da672544b78cf233b4fc9ceaaa2e758de44438f9c455eb1

Side Comp NFT Artwork Card [Closest to 1 million with fork of 1 million]
https://etherscan.io/tx/0x02b425f55391eaaaebf2210c91aa5b81041f91af7ccb3b5f5d71f5639bf0e83c
https://etherscan.io/tx/0xcfc830df90cc725f0d1821350a0f706f879f8a8ddef9906f1e406026cd346298
https://etherscan.io/tx/0xc59e517aa9462420f4d57b6993343d2ac6f0e6eb9c891516b53f3d3dff0fb513
https://etherscan.io/tx/0xbbf87474960dfd23d15385ed6d22397b967333f1dd7769eda973ece799224364

TOKEN ALLOCCATION
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 10,000
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0xDA0b521d1ecea9425ce1e079739e8Ef3aa45c4C4 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0x305B359001445f52911a3CD7e30c9883125fd46a : 2,500
0xbe9A31c7505DA8d0eeBCFe6C0F3e270eCfFfc54f : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
0x245Ab426A39Ab67E7969aCFcbCC6C93180Fa6e2b : 2,500
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 2,500
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0x685269f0262BA5Ac81EbaB85245cCA51E18299C1 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 2,500
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,500
0x4E06ED60d6824FB7bF145B0311DB3405B2a96B39 : 2,500
0x2F266A68b74F7F5A920840ad7c6f3fB0c0df5438 : 2,500
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 2,499.67
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,499.27
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 2,447.09
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 2,444.76
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 2,440.85
0x3c77CaB626403f20E63354715251bf49748CdD0a : 2,406.61
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 2,362.51
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,360.73
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 2,313.95
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,280.36
0x691b189789e777242508096644D1E1CD6d63D2FF : 2,107.78
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 2,063.52
