Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x810002e5baca458d30ec0a77e52d6205a9b24799ef43d04665cad52184c4668b

Moon Base (Top Place)
https://polygonscan.com/tx/0xc3674d8ef9d99a039fb7c7f8d74b47f96e433f9b02219c2e52c7fab3ec8ca4cc

Side Comp NFT Artwork Card [Highest net worth with palindrome fork]
https://etherscan.io/tx/0xf6e953134f0a662431bdc7a35420a9c50895e6503f0ebb65a46c9c93f471f526
https://etherscan.io/tx/0x7fddf0fde3e34d90873794f07f4c9b7b609af266f97c382f11cac58de06b5149
https://etherscan.io/tx/0x1b7e28de32be8a626600c3910516b987f31930fce71bf6627b4d415b052e3366

TOKEN ALLOCCATION
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x1fB849cfbA73AB15d6333fD665D517d5190c7C38 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x2F266A68b74F7F5A920840ad7c6f3fB0c0df5438 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 2,500
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 2,500
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 2,500
