Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x9594a6bc4173c74820ecb99c731b1b643e06b5816dd93747374c76f5a0210ddf

Moon Base (Top Place)
https://polygonscan.com/tx/0x073390a2203fdf54828601004795c761e72cfb9c7eece81c45c08d750766de40

Side Comp Coder Punk Card [Highest net worth with max of 23 of each investment]
https://etherscan.io/tx/0x0ade7e2a1f1148d85e7a7767927497abbb95f34b2fcb340640a0da31ce272ae7
https://etherscan.io/tx/0xdb643906fba52da8b8e32392dd4e609c61da2c9d84857beb39b77c65503e9b61
https://etherscan.io/tx/0x913c67931b658d2c381b46b81b40b663ebf52f13f9e128414ee77e306ddb248a

TOKEN ALLOCCATION
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
