Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xa2a7d4a65cd23fb8fbdabde021dd6070388ac8bcd89f10a57d42d29b1874c755

Moon Base (Top Place)
https://polygonscan.com/tx/0x4b5c26efbdbdf2bb5b2e86a521287f8df8a6aab0f6183811e118d3e63a485a0c

Side Comp XyXx Dapp [Highest Net Worth while having NO Hard Forks]
https://etherscan.io/tx/0xf3080de7baaa2ba3b168b9039cc0bad396e742d428033eb461f830e59a80b345
https://etherscan.io/tx/0x58853712342ba909f233456bb672e80a3ccabb2ea731e225e03d01e277485dd5
https://etherscan.io/tx/0x9919224d1723e1fa9b0b9ff556a10b2982a99323c26c2fd3df250dab58108629

TOKEN ALLOCCATION
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 2,500
0x10992b978435f7DE7DfAfB90A2162129aF68A851 : 2,500
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,500
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x2F266A68b74F7F5A920840ad7c6f3fB0c0df5438 : 2,500
0xbe9A31c7505DA8d0eeBCFe6C0F3e270eCfFfc54f : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,500
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,500
0x3fBbFAB0550534aAe22dcD074376cF8E8d1ae503 : 2,490.12
0x0910C06877FfE1b33271E31f67B41dc70D83880a : 2,473.36
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 2,450.05
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 2,434.3
0x1fB849cfbA73AB15d6333fD665D517d5190c7C38 : 2,425.17
0xa7875ed43d5eE7D0D401FF7f44cF6973638468ec : 2,393.44
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,333.59
0xE0dd81c5a4130f478f8014be318DDd1f923eCE42 : 2,312.35
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,273.86
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 2,101.29
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 2,067.1
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 2,050.05
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,029.63
0x5d03622119E61720e372F47Ed4F91819654D814c : 1,950.27
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 1,946.95
0x3c77CaB626403f20E63354715251bf49748CdD0a : 1,900.03
0x4FB580434729dcB61f0214D5fB0A1b94bf3a6105 : 1,845.01
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 1,689.83
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 1,626.88
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 1,616.79
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 1,566.1
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 1,552.41
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 1,543.12
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 1,523.93
0xF0089fFeb68FadEc1e16089D82a567751A030821 : 1,476.09
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 1,391.85
0x0eB5f43D32361cB919D9a4f11339ee834942df67 : 1,352.7
