Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xf618125066f3cec9cdc60fd0500f8aa8f8c3a7e4b964033858126286f04cb0a5

Moon Base (Top Place)
https://polygonscan.com/tx/0x0b931a5dcb61d5509c89a313369e3cd831d059c23a6cd4114b47bd3f0f0ae57f

Side Comp Celeb Evangelist [Most Combined Mining Rigs and Validator Nodes]
https://etherscan.io/tx/0x8f6f0ae8fc62eacc302e84041e3e340f7dc04a2dc96f1e82ff54a5295758d833
https://etherscan.io/tx/0xb38e2e5cba7554b721f9441080a77534c7191bebdf00a0660d110c4f5c465a20
https://etherscan.io/tx/0xf0320105c25eeb8ee09efcc0e45dac6379293bb875398d1bf936183084d69dd9

TOKEN ALLOCCATION
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0xE0dd81c5a4130f478f8014be318DDd1f923eCE42 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x17f643F66d82bfB60a6e1c82EC8B077d8B887692 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0xbe9A31c7505DA8d0eeBCFe6C0F3e270eCfFfc54f : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x10992b978435f7DE7DfAfB90A2162129aF68A851 : 2,500
0x1fB849cfbA73AB15d6333fD665D517d5190c7C38 : 2,500
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 2,500
0x5f6786562bd34b86670aD96b0c2a7436De4e9128 : 2,500
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,500
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 2,500
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0x5d03622119E61720e372F47Ed4F91819654D814c : 2,500
0x2F266A68b74F7F5A920840ad7c6f3fB0c0df5438 : 2,481.48
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,468.85
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,445.55
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,436.13
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,407.17
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 2,359.46
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,248.77
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,216.43
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,162.82
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 2,162.62
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,155.4
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,153.68
0x964167209C71a0d45d89469C118213884C232054 : 2,141.04
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,027.92
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 2,001.31
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 1,969.27
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 1,953.76
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 1,896.36
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 1,840.37
0x6726d208bA943B20933491FF004AA7188b70ae79 : 1,832.53
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 1,800.49
0x0910C06877FfE1b33271E31f67B41dc70D83880a : 1,792.92
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 1,762.02
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 1,688.11
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 1,611.39
0xd9a639AD0BC11803fFDea984637B09C07cBad47F : 1,595.17
0x45F9C188a212168F8e450597702D0182d0328A9e : 1,554.25
0xca38C5da68425AaD2b8cCA28D76810D114A25410 : 1,509.66
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 1,459.39
0x4E06ED60d6824FB7bF145B0311DB3405B2a96B39 : 1,451.02
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 1,404.42
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 1,381.87
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 1,377.67
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 1,319.38
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 1,312.17
0x3c77CaB626403f20E63354715251bf49748CdD0a : 1,288.95
0x51064563ED35a1255F9282D5dd72755bDf812247 : 1,176.78
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 1,167.57
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 1,158.72
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 1,148.27
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 1,125.64
0xb828812ba9cdB61790dC4238C386294640FA9989 : 1,114.44
0x636CAA6Ab025Ce80fb05ED5885d7D1d88261bA41 : 1,101.14
0x82588bED33DBcd8EEc164F6E85cf24C898237bb7 : 1,088.63
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 1,079.24
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,077.83
0x1b5A051911190272375E31fbE34e3DcECe979596 : 1,046.93
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 1,034.4
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 949.65
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 909.51
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 854.9
0x195dDE481D76440cf6Eb0a6f861413b0664f108B : 696.27
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 654.45
0x2afFdB3d476E8556224D37996490E8d8b8b8c3Fd : 635.4
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 624.4
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 580.59
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 569.73
0x299CDD1A1C8b9203806036b297e60B1F1486A3d0 : 566.95
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 531.12
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 519.92
0xc6E97134Ca20966E83f7CC2921E0Aaf7F67E5239 : 505.22
0x8cC7a3df8882A4862f6192050BD562898583E2BD : 485.26
0x9aB67abC6eEa260C77Ac2BC5023D4088d4383153 : 470.55
0x19A5307282bfF6763051049D92A8FBaf76227706 : 462.56
0x4FB580434729dcB61f0214D5fB0A1b94bf3a6105 : 459.62
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 441.8
0x9c1619bd49e11B8E7c5c867e2400483b6B178EBc : 441.2
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 433.82
0x7ea89A461A5eAE92E2aaA23AD9780A28F03Bf0AF : 429.89
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 418.09
0x9B33AdFa30D6bf19f213047D5DDA69a5C5229C51 : 409.25
