Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x70d9987227f98d87fafa27b924347a84c3e6e35c2ee0dc3adf393395bfe0c254

Moon Base (Top Place)
https://polygonscan.com/tx/0x1908a16bb61a7089531be6b5c147344b8b5867c42bb8add59e8ada172f0422e5

Side Comp Coder Punk [2x Random from Top 100]
https://etherscan.io/tx/0x0764f70ef24bec01c20bca8f706929f5416157b05556296dd10ea3717f843560
https://etherscan.io/tx/0x95b71754a78d71d41384fac60d5cc1c50bf793f6bb92bd05cc5be2ea280794db

TOKEN ALLOCCATION
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x10992b978435f7DE7DfAfB90A2162129aF68A851 : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x825aA1aB6022D0A94911F03b85aCC3B05EC08738 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x28014ACFea5BAD80f15F771334E08D8941C5c30a : 2,500
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,500
