Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x0b49df4814894ca77441ba12fefce03d184ab5c2aae28c5a55ff0ebd4460c88a

Moon Base (Top Place)
https://polygonscan.com/tx/0xa27c7c84a9459e98cc66f2bbd36704977914e55d8ee4ad2a6134f32db6b47860

Side Comp - Dapp [Closest to 50 Million Net Worth without going over]
https://etherscan.io/tx/0x589a5e8134937ddac756abdc5a8271b599f9f163a21007e1e195014963f786a7
https://etherscan.io/tx/0x82d5c4de51fd1707bbbc17d6273eb4329d10d3299215e2b25d819ecd3e10ba7e
https://etherscan.io/tx/0xaa552d7014a17ad37fda7ac58424393d6ad91a5672d290e528d0ff247273a7d9

TOKEN ALLOCCATION
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x4A1660202Da91bF7324cCe19f40dC717Ef259CF7 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
