Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x927cdd06f2f7675078745547c8533bccae6cb17efe3b8b1a917bc0dc62f4e8fd

Moon Base (Top Place)
https://polygonscan.com/tx/0x45ebb9a191e949af6b50602f320b6c5596ecd59c0c85085277cb2b7b5f2b9733

Side Comp Celeb Card - [Most Investments with 1 Hard Fork]
https://etherscan.io/tx/0x7a532a7b77663de893ba2d1f5a2370181e0bdf28e0690596aea9c7f3e9276fa5
https://etherscan.io/tx/0xe678e7e3ff99740b4ea47c675138a3e14c9a0b369de731671b220450bdeee992
https://etherscan.io/tx/0xf65d3f0b2aa136acd3abc6973c55cf99eea557f84a0898dded3f39f7360e9ec4

TOKEN ALLOCCATION
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x75d0801e171de3b98eE83a606294f2bf36488468 : 2,500
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x8853d9c395169E3db11545718a385Ead8675b419 : 2,500
0x51064563ED35a1255F9282D5dd72755bDf812247 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,500
0x341f00c1b2B236EF26527590EC62F5960A356052 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0xed88BdE7F2164f240d65145BBDc05449CF17205E : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0x2345ce86d9c9CAb4068197F88Ff8022Bd29C4C0d : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xa7875ed43d5eE7D0D401FF7f44cF6973638468ec : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0xE21B23844a3f45eee6A860fb17906fb60fFb5e2C : 2,500
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 2,500
0x691b189789e777242508096644D1E1CD6d63D2FF : 2,500
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,496.85
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 2,480.96
0xbFbA777a1951497373f841Af9a9E35F67c20ba9b : 2,307.32
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,263.82
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 2,236.47
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,118.8
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 2,102.71
