Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xd06661cbe34a0602bfe00d6237ba2df3cd37cdf28d7839238da610a38edb7713

Moon Base (Top Place)
https://polygonscan.com/tx/0xa02eb81eda0566d74dace0e97cbf528b6a28d241432c50cf830ec8ee67a46acb

Side Comp NFT Artwork - []
https://etherscan.io/tx/0xf5a13c47f86281e3d57831de11d5b73ebfd655f2d1131eea65323a3ed54d220a
https://etherscan.io/tx/0x69553f309a546bcb847101c4fe3a11906cd8ee663b8054d511b582ed47731011
https://etherscan.io/tx/0xcd42e3f9c5933be41a0ac4afb3783cc6e5098a1792271f484069d1604d093770

TOKEN ALLOCCATION
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xA010BA70CebC048AB2ac639Aa054bDCef377198B : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x685269f0262BA5Ac81EbaB85245cCA51E18299C1 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x245Ab426A39Ab67E7969aCFcbCC6C93180Fa6e2b : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0xB2F94c58E21C234486498e860da0304584E0394d : 2,500
0x21B96812C00F81f66ae1293f68D762a20935326d : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 2,500
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 2,500
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2,500
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 2,500
0x8853d9c395169E3db11545718a385Ead8675b419 : 2,500
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,500
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 2,500
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 2,492.79
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 2,373.03
0x07Bcb22558932C1f04024e1B972fd1F3D693a52f : 2,344.04
0xeE42298Cd1f99721121b15C60e42544F026A6b06 : 2,234.74
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,212.35
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,196.7
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,172.29
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,140.1
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,075.12
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 2,032.9
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 1,966.2
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 1,932.93
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 1,901.44
0x6726d208bA943B20933491FF004AA7188b70ae79 : 1,864.9
0xE21B23844a3f45eee6A860fb17906fb60fFb5e2C : 1,779.47
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 1,665.05
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 1,569.19
0xFB03A54CE24CBD74B8793D1CB1f8CD4154F61Fae : 1,508.32
0x7aDff1Dc5b78d57Df458b4DB3ED75d2a80382Fee : 1,461.21
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 1,421.83
0xDA1EBF6dAAa150141C92a0E809747985C0a0C2C8 : 1,372.84
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 1,347.61
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 1,336.53
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 1,212.81
0x83c972ef4a35F842559a915571D380849b1c7315 : 1,147.99
0x88AA89C847204601495586AB9b082Ab67f63CfB9 : 1,138.09
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 1,128.08
0xbB2211E2b4971BD7483bB340A03B19Fb7Db3b5a1 : 1,125.03
0xd89078000e820B42693714dE25e6C59695Dbc651 : 1,058.4
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 1,042.78
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 1,042.43
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 1,000.4
0xb828812ba9cdB61790dC4238C386294640FA9989 : 918.52
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 873.71
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 761.35
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 710.09
0x1BA2a0236acF49016DA56Ab63CC139802f7aC033 : 704.45
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 687.2
0x691b189789e777242508096644D1E1CD6d63D2FF : 676.43
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 659.98
0x3c77CaB626403f20E63354715251bf49748CdD0a : 654.45
0x9111b7aD6422f63f9C6329EF7D23345fb94880Da : 649.44
0x8b039453422d9dc724Bd3c5e7E4911827224D80E : 647.82
0x5D7975d2052Ae73fd9E414fAF920a4d126BE0425 : 629.37
0x5434a41444120c3e417D66be1098E69E79A52fCc : 625.64
0xbD44793C476F7A2061229a54bc341efC554d8D03 : 612.44
0xa4ab0E2884E9AD61a5Ab3F5E0748B56AfCd1673f : 553.51
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 539.42
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 506.23
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 504.22
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 499.44
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 474.87
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 459.89
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 455.8
0x3CBc1b5116Fc41a1755d12105408Da42D5952972 : 453.67
0x17D9C051F87C4A685dB7F84B54b78d61Ec474090 : 453.34
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 452.2
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 424.22
0x7ea89A461A5eAE92E2aaA23AD9780A28F03Bf0AF : 398.59
0x19A5307282bfF6763051049D92A8FBaf76227706 : 397.96
0x02F9E6E2e1c788883b1D80781c56614d21399586 : 391.4
0x9c1619bd49e11B8E7c5c867e2400483b6B178EBc : 372
0x1b5A051911190272375E31fbE34e3DcECe979596 : 338.17
0xb215ed8a34ac74DC3D61941b8007C76b19F7A367 : 324.17
0xc4B4fF84Fd402EC7afB33FF23D79B3D5aDd48539 : 297.63
0xE8A328939B37cBBcFe31c333b9480B0D81D138fa : 292.06
0x1b380E50653E8AF991Fc50Aa6CE9259c52bb5b72 : 282.2
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 280.19
0x9f2B2aF2771747De236CDc38f10a169897330324 : 272.12
0x9FF24fd4236FeFbB362Da00EAaa91d0D5324bfb5 : 269.12
0x2F21A3B7B7f411EA734C3079ba644906123635cD : 250.12
0x89eD1EdB48A095674221A7Cccae6328B084A0A89 : 247.1
0xd201EB28904C06Ed1dfD7E8176Bdc6D34af9168C : 239.44
0xFEe740FB924b7E680581593Db068aC0dc9CE9250 : 236.61
0x95DFc6eCFE5556428f1DcC5a3EfE99617beC2D1A : 220.62
0x64D8E328B2b3784cCBb882C4136872c9ed01B521 : 220.3
0x636CAA6Ab025Ce80fb05ED5885d7D1d88261bA41 : 218.62
0x8E746BdAb39E13a7b318a8A236c6953334EA650b : 194.21
0x53978e8066Ac072E3b43E4589aD207361cA3784D : 187.48
0xC45c5cF4aE8FfC576F5D6886ad6cF4Ef8640C129 : 184.59
