Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xbf303ac033a4e89b9eb60a75aa148e85c88216f5b2c3530831d353345e049672

Moon Base (Top Place)
https://polygonscan.com/tx/0xde80c25e145002119b6d5727aaa8e97a34591684fa818551da2a61602353b222

Side Comp - Mintobot Card [Highest Net Worth with a Max of 73 investments per tier and a max of 1 fork]
https://polygonscan.com/tx/0x9f246079f7373ebd069dc75ae2a714fbc10df3a63f006a68269336cc91ad125c
https://polygonscan.com/tx/0x691dc237a9d5f1fa32bf823bd80b5addbe499a6d7f2c7331bc2350d52210fef4
https://polygonscan.com/tx/0x3c47054eae19b6a06157d7a462d9a5cd30f408138425a78ca53fb38556dc26ac

TOKEN ALLOCCATION
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0xd89078000e820B42693714dE25e6C59695Dbc651 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x07Bcb22558932C1f04024e1B972fd1F3D693a52f : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0x9c1619bd49e11B8E7c5c867e2400483b6B178EBc : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 2,500
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x64D8E328B2b3784cCBb882C4136872c9ed01B521 : 2,500
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 2,500
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0xB48d45Bea78662e1C5E729c40162d0d71DC6b961 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0xd2567f9e05e8027186A7552B8c54EE81805e33bF : 2,500
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,500
0xf64688E4e220f613176f3233Eb8d5C1a369eD138 : 2,500
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 2,500
0x8b039453422d9dc724Bd3c5e7E4911827224D80E : 2,500
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 2,500
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 2,500
0x9f73b2694C701Fb8Ee6c4557f4BFea8A60d182C1 : 2,500
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,500
0xbD44793C476F7A2061229a54bc341efC554d8D03 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x6726d208bA943B20933491FF004AA7188b70ae79 : 2,500
0x636CAA6Ab025Ce80fb05ED5885d7D1d88261bA41 : 2,500
0x7d30646D1a9316ce82f89E9b218C36C100D49f01 : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0x7aDff1Dc5b78d57Df458b4DB3ED75d2a80382Fee : 2,500
0x52Fa3C236C9643236c30ca05B41bB6D960472057 : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0xeE42298Cd1f99721121b15C60e42544F026A6b06 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xd691Bf2cAB87d05cEd8d3a7748b796Ea96AcbE51 : 2,500
0xB2F94c58E21C234486498e860da0304584E0394d : 2,500
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 2,500
0x0E2Fa9602A778438dd12Fe958573ED7A7845dC31 : 2,500
0x415eb25E7C7d765c77B22E8004F59d05D83353CD : 2,500
0xE8A328939B37cBBcFe31c333b9480B0D81D138fa : 2,500
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 2,500
0x21f553334AbDD300EA9cbB210fd4a74c58d7066A : 2,251.23
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,213.86
0x08C638bc0C47A053E31a8110721DD220e52FC7E2 : 2,211.6
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2,182.58
0x6E98797a3b0a6B02819a46975F3aaC8d8b19604E : 2,088.47
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,082.91
0x83c972ef4a35F842559a915571D380849b1c7315 : 2,051.53
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 1,823.65
0xF9c238dd20D0Fb8dE6CA2C84cF9b5220b1d5e9bD : 1,801.59
0xA010BA70CebC048AB2ac639Aa054bDCef377198B : 1,685.76
0x8853d9c395169E3db11545718a385Ead8675b419 : 1,593.38
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 1,561.89
0xeA928B6Ad1632Ca590C588d4fC9b8900fce65aDF : 1,460.79
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 1,423.77
0xd201EB28904C06Ed1dfD7E8176Bdc6D34af9168C : 1,311.07
0x3d8D0a95D9962cCeD171776f667f5dD2A1AC8fFe : 1,290.13
0x6cC9553e48E82332B6178A1EcEB0bcFE5cba9E44 : 1,287.91
0xcc13AC1811fEDE69f557496E0a962e91dd0Bda1b : 1,123.73
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 1,003.58
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 982.7
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 975.12
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 940.77
0x1b5A051911190272375E31fbE34e3DcECe979596 : 904.75
0x67b3591D03FA12264454b0D1918a922E4A92e46B : 821.94
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 787.06
0xf5B385f0de26ec86CEd3bEe14E0E95121385dA72 : 781.92
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 765.21
0xFBC1035559aF2676EFe400B1B13A2d306143556c : 726.18
0xa5692e63c098eB87F8fc2EF49692F2f6FA14D6eb : 718.33
0x217F7364b038217cD2df4222657B8582f028644B : 693.48
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 655.58
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 604.47
0x7ba86A4E169795b2b65083D12639BEC5A9d7786E : 580.86
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 549.6
0x165B3179dE169465EB367D54ff8E109F4C2c68C6 : 493.57
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 474.35
0x3c77CaB626403f20E63354715251bf49748CdD0a : 465.64
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 453.09
0x9FF24fd4236FeFbB362Da00EAaa91d0D5324bfb5 : 435.49
0x02F9E6E2e1c788883b1D80781c56614d21399586 : 433.47
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 418.31
0x31A2b60dA7245A3d73f7653B79A3877FdFb72581 : 403.46
0x45aBFA39DF1bDD36Ffe21E879036474C886a499b : 388.4
0x26B207a46f60C81037F2C597D52cc74881E694C9 : 335.84
0x76654a0c8f139F78277B0c2327f66Ab01a586Ab0 : 281.12
0x7f93410CC1E6Ebb22357845D490dF00BCD5BB1Ec : 280.15
