Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xc449ce1d20ce1583a3b16d9e7ef2736ed231530b13b24befd95cbee8a5e6106e

Moon Base (Top Place)
https://polygonscan.com/tx/0x4cdc3bfd85d97b68274e37245999c6f87ec1827f133b778590d98069de97ac3c

Side Comp Dapp Card - [Most combined Smart Contracts and Decentralized Exchanges]
https://etherscan.io/tx/0x3f383422efdd7fbc803637cc8cde444ab74bb0b5c8b15d8ca740c079cfd294ea
https://etherscan.io/tx/0x7599a85b5ad476e516fd1746b5ab91419bd5fb0512eb7a4ef9c9c26c985ed257
https://etherscan.io/tx/0xb57959b1cbf8eeffeb05de597b5a51a1e3487463a9de0c1777703fba7308242f

TOKEN ALLOCCATION
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x7fE5e61A7eb1FF76bbE7Fc6c66598C3eF6E02B2B : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xbD44793C476F7A2061229a54bc341efC554d8D03 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 2,500
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x3d8D0a95D9962cCeD171776f667f5dD2A1AC8fFe : 2,500
0x21B96812C00F81f66ae1293f68D762a20935326d : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0xc5602036c376D4BBFb10C5A3000620Fd37b982C2 : 2,500
0xB3a96b4B1624912B2c8032d13C8823e667d414BD : 2,500
0x14bD27b63D25d6D315d15F0069Ba6d3DFD496384 : 2,500
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 2,500
0xfb01185b4d80876e4e033B55E0cb087EF3cf8A98 : 2,500
0x9bE5C35A74D7039be9E465cf37eAa190e0Fb02a5 : 2,500
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 2,500
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 2,500
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 2,500
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2,500
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0xA69a15aCc61891dfE2b7CF1EC619CE168D2897F8 : 2,500
0xA010BA70CebC048AB2ac639Aa054bDCef377198B : 2,448.69
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,437.91
0xB714ecEcc7fc7B463586d0D4C16bBCcDC57B49AC : 2,215.1
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 2,064.33
0x9f2A325581f26cc0Ef573Dee3AA797f05Ad8CaBc : 1,991.64
0xd37b5322b115c7b78C808561BB0B5b520716b0ea : 1,974.03
0xAf6073928FeA1Cb1E6ADE67d02B5580D1E39D1c3 : 1,884.73
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 1,881.31
0x45F9C188a212168F8e450597702D0182d0328A9e : 1,863.51
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 1,863.36
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 1,839.36
0x8b0F5B6Cc264835ac7F281709259F784A5F0050a : 1,835.75
0x2afFdB3d476E8556224D37996490E8d8b8b8c3Fd : 1,803.63
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 1,772.72
0x3c77CaB626403f20E63354715251bf49748CdD0a : 1,678.39
0xbAe1a49A356a99CFF39306eE76A47B159A342fb8 : 1,637.69
0x27181F105e5f570Bd14eEafF662a66BBF3198441 : 1,580.96
0xE21B23844a3f45eee6A860fb17906fb60fFb5e2C : 1,563.49
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 1,520.13
0xd2567f9e05e8027186A7552B8c54EE81805e33bF : 1,466.4
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 1,461.4
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 1,457.1
0xa195eacea34bb3B6441a91825aCa24D31134BA47 : 1,350.08
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 1,307.03
0xdd183c42BA87942537067759c5b9a060b1e889FD : 1,303.8
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 1,295.57
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 1,231.12
0x6726d208bA943B20933491FF004AA7188b70ae79 : 1,228.88
0x07Bcb22558932C1f04024e1B972fd1F3D693a52f : 1,193.83
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 1,153.82
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 1,108.62
0x696452fd17A21b7A750D6f24b4807B94387464b3 : 1,080.78
0xEF7e98e318f73f79160170107E4b5FB3F70A9Af4 : 1,077.32
0x17D9C051F87C4A685dB7F84B54b78d61Ec474090 : 1,046.87
0x298F0c8AF5CCb5530DfD3cd1c9AfF36b5659042d : 1,028.89
0x97f88c8d342989b8Ad169d47a31a47da4004F48C : 954.68
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 932.58
0x36595db21f4Fcd3742e5771358a543b2bEEd869b : 906.01
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 883
0x20dF9198f40dFe883EFBa92Ed58fc986838fd175 : 866.95
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 841.67
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 831.81
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 822.1
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 790.58
0x4B70AC27Eb119D34f7B8A53A50b2FB264de13766 : 785.62
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 761.97
0xDA1EBF6dAAa150141C92a0E809747985C0a0C2C8 : 731.62
0xa4ab0E2884E9AD61a5Ab3F5E0748B56AfCd1673f : 727.52
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 707.76
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 673.67
