Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xc08f7ff9d29d86d51eaa3dc31de4800eda0a5c9bd251ca8067d0a8ff297cd623

Moon Base (Top Place)
https://polygonscan.com/tx/0xfebbfdaae73e64a58eab65d81704d6eb5a0c585eee78b0cbeefed19e4080f5b7
https://polygonscan.com/tx/0xaf5ed724be61b5ac4c58aa440b5a4f12a35ebd5cce5d1583a0e77aab20afde42

Side Comp Moon Base - [Positions 25, 50, 75, 100]
https://polygonscan.com/tx/0x1ca3b9409079161ce335c21abc63fe92157a4c7380a31f2257998f7b0aed81ab
https://polygonscan.com/tx/0xadeec5abd3d58da3d149494a530d9b2d22703a6ad9e0ac8086ffcb5d1c23b4d5
https://polygonscan.com/tx/0x909599c4778683b8ebb1a58d10d3f867661aa89653abd4b360f084a7bee203a1
https://polygonscan.com/tx/0x7784d3f07a5cd70eaa314c186c6c2221319d0f03ace8beca0c67bc53c7b5298b

TOKEN ALLOCCATION
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0x3d8D0a95D9962cCeD171776f667f5dD2A1AC8fFe : 2,500
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 2,500
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 2,500
0xbD44793C476F7A2061229a54bc341efC554d8D03 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0xfb01185b4d80876e4e033B55E0cb087EF3cf8A98 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x60364DFeB197e00138711155f47eC2c5cC6698E9 : 2,500
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0xf5B385f0de26ec86CEd3bEe14E0E95121385dA72 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
