==== WINTER TOURNAMENT PRIZES ====

[pending]

==== ROUND 76 PRIZES ====

Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xf3517db402c43373550623a16926d633770ff60b970c1c67573000d130b0b9bc

Moon Base (Top Place)
https://polygonscan.com/tx/0x492c8c8e5ab61dad9aef7729a396fe09226b354cb542ed74e96ac4a8273bf135

Side Comp - [3 Random in Top 100]
https://etherscan.io/tx/0x424cd6e50ca9d4db67bef81e37652be638baf890c36a5999ed88ec78d874c8ec
https://polygonscan.com/tx/0xe5f829ea597e2db3030d1daa6bf6f44e8505f6fe0d63b3c70b8f777b5bc946ba
https://polygonscan.com/tx/0xae29ccbf83f6e26c7d2fd97d0dceb073b5223670fcb2b4b1dfd66ffda60e9c04

TOKEN ALLOCCATION
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0xE6943A33A364B1AA7997f636574b127a67E7C110 : 2,500
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xdc6E59958Ae67f8b81be8DDc8C97DDc3380A23e4 : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xc5602036c376D4BBFb10C5A3000620Fd37b982C2 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0x2afFdB3d476E8556224D37996490E8d8b8b8c3Fd : 2,500
0x62248dEa46cc0BBFBc17BaBD3782b5aDA33ec434 : 2,500
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 2,500
0xAf6073928FeA1Cb1E6ADE67d02B5580D1E39D1c3 : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x21B96812C00F81f66ae1293f68D762a20935326d : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x0Cf730da78C4Ed4a3CD31C7A38867e15C3a5A07A : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xC21a016D1c3cE50D6127B7CdB1d8fe41DA9fC366 : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0xeF454dB7a5Ddd679411887556B067fb54B7052b8 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 2,500
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 2,500
