Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x1369161968b56038f7214f139b6675af484966fb557e91fd3e6e6fd049da6ec7

Moon Base (Top Place)
https://polygonscan.com/tx/0x4b8fb73dca57f062f9cb5af6b6f293788d4aadbe8d22dc43a6eacf9f42285738

Side Comp - [Highest Net Worth while the quantity owned of each asset doesn’t exceed ending rank]
https://etherscan.io/tx/0xaa628deb18f3a7c461027eb15aad984682c88adf2f7c806350c69c578bcd956b
https://etherscan.io/tx/0xf1aa6962d428eb85728b7043dc1447f768b1c4f0c042a949bb645b57d8888a5e
https://etherscan.io/tx/0xfe1edbe4428e2126c900a5f43ce4f014bf8d45bf267df9c74ebdd400d373769f

TOKEN ALLOCCATION
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 10,000
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x22386b4Ddb9f0836d35dE8Ad0D263f22d054d9A6 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0xc5602036c376D4BBFb10C5A3000620Fd37b982C2 : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x7c5788F35d840cc3d5A96383850f108111F72D03 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
