Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xf5b25b62c02cbd60dc12b1d4c3fca356ec9e9a702bf89c8952d17d6b42123d47

Moon Base (Top Place)
https://polygonscan.com/tx/0x270a712bd4b5120b129470514177db0e969d857c2f0f39700240914fb1e73383

Side Comp - [highest applied fork percentage, while also placing in the top 25%]
https://etherscan.io/tx/0x1960120ded8ade3160dbf37b4f96f745e34ca778f2a0cab7af9cfb2074d86e56
https://etherscan.io/tx/0x2c414561d55f53154cc7ccb4c5a63ec1dfce05b27bcb9613360a79ce0e8298e6
https://etherscan.io/tx/0xc79b6b4bd011ca866eed4a4286239221d023585d8e3079c933146a11b60c1e65

TOKEN ALLOCCATION
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 10,000
0x95d92C01ac2E45c33Bd5C40Ef555C01dBde43C83 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 2,500
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0x9a218Dd07CcC2463EDEE070622D77A7fE6D2Aa50 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0xE51451E8680CA900eF3e1c92860c4b6D4B03d3e5 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0x36cb7898012E3B19070554BE377f7C0E708be229 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0x83c972ef4a35F842559a915571D380849b1c7315 : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0x70072537976eF240Fbd7676cdF6A51353a04D342 : 2,500
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0x21B96812C00F81f66ae1293f68D762a20935326d : 2,500
0xF0B2D41d48439030ce8e0284B3F242121b85f2aA : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0xf11170d4Cb83905F24aD1d0A4c800970E8477f2B : 2,500
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xA0C59Fe11305a4F62692a41198099C01dC271be3 : 2,500
