Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0xe2046654d531924d57dd4a260a50492e8e1930913b418fd06089e8ba96101f21

Moon Base (Top Place)
https://polygonscan.com/tx/0xf1a2675adcfe73e27ff47b127bdb007e0a849b69a2d0a2c25b145476103a1211

Side Comp - [Highest Net Worth with only Rigs and no more than 2 Forks]
https://etherscan.io/tx/0x8a0f2aa423f8d176840e0b0b57e42cd57587721dfa1f9e574818d791ee56d551
https://etherscan.io/tx/0xf9871c0e3dbba42e6bda07b0afcb80b614063d37b6e1b3f35fcf394f50866231
https://etherscan.io/tx/0x1aade1b6055d1ded704e5dfd53e7a25cc21d9d08e7a8ddb333af8b193a51dc80
https://etherscan.io/tx/0xd1b3ae4b0f5deccbc90a9e43848e653674b9184ad31b3d1814b945ef16736da8
https://etherscan.io/tx/0xd9dda8df3645a45c267d71b0d5e4287da3c1da6bdff8be9cadf1c73977786225
https://etherscan.io/tx/0x6a5440030361bf91412877b3badda3d3ed3de24c56d3d511f6692f246310b55d

TOKEN ALLOCCATION
0xCa7Cd9BEc8243531186993Eef33f781601C5b0cF : 10,000
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xAcca8873872C1483514bd77ab17Cc8Ea825a751f : 2,500
0xB2AD4Cc109eFCaD0C9469C69Db830ffA426a2ac1 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0x2a838eFfb7Cb23A460a57A50caeB80BF289Aa506 : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0xC62313D150A7821f4cEe07589b461e2B318B8af7 : 2,500
0x22De2768c9A6bAe795672F80fe90b3998eaA2B96 : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
0x0435F1194944E7eEE29aceDb7bE175a9223bE9a7 : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0xe20C54BaE4826173346A50E48B78C60FA141d333 : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0x367FaB98632A0b4402Fd931aFfF6ba57A20E0c42 : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0x3d8D0a95D9962cCeD171776f667f5dD2A1AC8fFe : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0xE2a560444de982083a1333BB0FD19026b83DdEf6 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0x426a7bEf9C37779eB20CB2010a5b3921443683D6 : 2,500
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 2,500
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,500
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 2,500
0x0DDA99029533AC5d5b9A21026361f51722EC8065 : 2,500
0x3C885ad808fF12F4b40c7E98Ce79b54F5Be23e60 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0x3C811D6477Dac421CfC5f26dEfdCcdfCBDc02B71 : 2,500
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,500
0xAf6073928FeA1Cb1E6ADE67d02B5580D1E39D1c3 : 2,500
0x0E2Fa9602A778438dd12Fe958573ED7A7845dC31 : 2,500
0xFc72e175780633fF0836A11925088ef0c03a9ef8 : 2,500
0x7642dc342ca0688e292cea973383D94Ea94FA3A2 : 2,500
0xC08364726D0a0D79FE4D99049A7Ac2fbB5c1084d : 2,500
0xb2268c118a43Ec5c893cE15817dE6776a397abD5 : 2,500
0x8b039453422d9dc724Bd3c5e7E4911827224D80E : 2,500
0x6E403564d6b3aD4E69Fb350759901Fe2Eb68075D : 2,500
0x7457FCB13C69b3B0D48797b8D8Bb333AB51C7291 : 2,500
0x2C85783bfCFc4382E4e8a10d4119A7efd425157C : 2,500
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 2,500
0x22d2C305a1A2EF31155aC566ADFB841A2758C88d : 2,477.67
0xB8559f1dbE2673d9f54f55631223a14444B1a0c6 : 2,444.92
0x7BC0044A08C72CE85A4b268eDFbb36F95Ea5DF35 : 2,408.78
0x9739d674708aE47403Fe9CbdF21721a346574591 : 2,395.73
0xeE42298Cd1f99721121b15C60e42544F026A6b06 : 2,340.81
0x9cd76b14C370B0275cE381AEE6d69Cf9Ec8e7651 : 2,340.7
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,263.19
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,153.87
0xd37b5322b115c7b78C808561BB0B5b520716b0ea : 2,078.23
0x70764c1bf11Fd313a3405f41be822Df34d569e48 : 2,012.36
0x772163b64A0589b0e8Da5d9D13646dba41cc7f26 : 1,958.95
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 1,931.56
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 1,847.33
0xe40e35c3698Dd0e9dE38bd60bC230CFA36D51C02 : 1,840.89
0x6130083289daAE2fF3EFA5703f7F700062f27ce9 : 1,740.57
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 1,688.4
0x5A5736B81f4045Be18Bf595dF4acdaB550575036 : 1,672.25
0xCb2D99FF0fCAB296D46c5C2401ac7b7208A6F56C : 1,596.54
0x8894D002b2362B9C3B74aA9e2109A8B49Af7EeF6 : 1,593.03
0x36dbe113C23D42FE5d81a5Ac27D4720121b78850 : 1,294.3
0xa4A543bFB4FC4BDD8256839ac793007F39C20aB3 : 1,216.4
0xE952ffe541D1cF7cD66B17a98A737751f5375613 : 1,192.56
0xc29355A9481De5d8314C7F61eFE03b981aE3e7C3 : 1,182.7
0x82517769e1f3cf15bF8962111ac7B5b5B6067Ffc : 1,168.13
0xd2567f9e05e8027186A7552B8c54EE81805e33bF : 1,158.23
0xd7c0d9e6C759BeD5F4EA89cA653eD0459b9b8DD7 : 1,141.97
0xfcd503a5fE0ECCa39b4C9DF6365Bd09F7c494200 : 946.37
0x95DFc6eCFE5556428f1DcC5a3EfE99617beC2D1A : 864.63
0xDb2C23095Aa771279f1f415989076E8d47660Ec1 : 774.54
0x528428504d0EEd9846D13725298805C569e2B2d6 : 748.13
0xe624acf53be0dA1c6e134b1Ce4200C2DF2E80F72 : 746.94
0x47B440b41CEEa0Ad93080C04e8dd15476cd06ECa : 713.62
0x9F70CD9441bE2f599f1851e10e14238e0E641806 : 695.61
0xEbFe112dcB1400B27cff1Bda6dA91e9Bf0beE0Ce : 656.62
0x57712866fe368f468ce1Eb02928228eF9767EebF : 655.22
0x25D311fcb8Fe7016b657bADF38D207C550E9552a : 651.45
0x165B3179dE169465EB367D54ff8E109F4C2c68C6 : 605.37
0xE7930Af801B8c1126Dc8251EDBb3536509E8011D : 568.66
0xd1D08fe9D8b1E019Ad7D2aFCb0D16ECc66204dDb : 545.94
0xCEe8820EF77E221f29337874dFFfB13ac2109433 : 514.15
0x21B96812C00F81f66ae1293f68D762a20935326d : 510.06
0xC45c5cF4aE8FfC576F5D6886ad6cF4Ef8640C129 : 470.06
0x188528351E2A1Db2a1F43f8dcdF2b9F2239f4C26 : 461.28
0xfC11DDcDeD074aCb0756E6f79904C2798112F011 : 457.04
0x62248dEa46cc0BBFBc17BaBD3782b5aDA33ec434 : 424.8
0x7A80D0e7920753B240c615a6a273F79E86c3648C : 417.65
0xb8a6E7aD47F94C80a616e1E03435e1dEf7f6dc99 : 417.1
0xA83B07BA91db714Fe789A29bD79723cC6882dc3A : 409.53
0x504385A4E61681255d056d2767C6cAA8f69cEc41 : 405.07
0xC6DCaAb1B6A5CcD5c20dCE60051EbEE82378165D : 402.95
0xd201EB28904C06Ed1dfD7E8176Bdc6D34af9168C : 375.08
0xbFbb9D16B54dBBbfE6B5314e76C00d9C406d6F1f : 364.59
0x1eDdB94ac05042C657C46dB629fa864d673F9814 : 352.36
0xD9e233543B69A61cfDB5784913AF53c87a7Bc83a : 337.35
0xD1a72129f5F0b9926786dfDCcac9bB2CfB5560e0 : 327.66
0x415eb25E7C7d765c77B22E8004F59d05D83353CD : 319.61
0x4E994Ce46721be14bd14A28e8A2ECAc9f2f8E330 : 311.17
0x6726d208bA943B20933491FF004AA7188b70ae79 : 306.27
0x82b8b4d5E6419FfF1e63cCb0C2d8D8503643d279 : 255.8
0x3625461bdb8DC8dcD2178A7E1AeE061A0B005488 : 253.61
0xFB03A54CE24CBD74B8793D1CB1f8CD4154F61Fae : 243.81
0x65b52FAFf341354A1AFA545E0D91765058bC28FF : 234.46
0x8b4A2cCB9836d70C04FE44667A9e69557570E389 : 226.31
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 223.59
0xFccC2da0e053e041b581D087558ae705C9EdbeF3 : 223.49
0x367C0cF8B8B9734aaE697E5e159518a0BA2f000D : 200.49
0x7f93410CC1E6Ebb22357845D490dF00BCD5BB1Ec : 198.2
0x2CaDeEc28cC599a62326FFb549268464EF938032 : 196.72
0x54dD27cdacDb91F3d54C207F909b4F128d0C63B2 : 172.55
0x22077eA2009a66BF099B082D44bf613aBb80dF3F : 167.79
0x714d5A6cD567323b1c473d17cCa258ac59D58f84 : 160.55
0x2F21A3B7B7f411EA734C3079ba644906123635cD : 158.41
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 154.63
0xDA1EBF6dAAa150141C92a0E809747985C0a0C2C8 : 143.48
0xfBEf6226bB01826A8372546F8d0B314D55eD06E3 : 142.38
0xE8A328939B37cBBcFe31c333b9480B0D81D138fa : 130.2
0x31A2b60dA7245A3d73f7653B79A3877FdFb72581 : 116.56
