Mintopoly Money Airdrop (250,000 to top 150)
https://polygonscan.com/tx/0x4316ce48e5cfd101f613352e0f8ecb1b1add1d2cc9bf72dd563f116450e417ff

Moon Base (Top Place)
https://polygonscan.com/tx/0x02e1757b1818dddfdbe44c3d0f3409553774fc6b1445b422bbccf4f371be6258

Side Comp - [Closest to 500K]
https://etherscan.io/tx/0xe2d386811bc04dcea73ac3aa120673d67e9cda065d20636658af04ef77576db2
https://etherscan.io/tx/0x65dfae6bc4ea2b91a6780c406e05f824a8015219e53a7880b0f2b83ed5a99914
https://etherscan.io/tx/0xc0a4877a8d7390abe08c7c00f6d0bbe8bf71c5f79b3984d114813817971427f2

TOKEN ALLOCCATION
0x2e1b9a3c0b294A05CeA65BD126414728Bdc68143 : 10,000
0xe58959b62861E82eD882A249AA90Cee5c55f9788 : 2,500
0xECb90b816b4D7dabC1582ED47c3fDBef0c0d280D : 2,500
0xbA4A602Bf1b9c92b9C141b422aeE0B759750F9be : 2,500
0x510072A38be5C2e73286c1a2Ad48a72B7B3C908a : 2,500
0x66E15e444A0FA24D72ad78b54763562F242cbf75 : 2,500
0x079dB324676CD5100BC944586Ed9A40146a39dA8 : 2,500
0x7309172EbD55bc672529B2FbF219E528eC143d6b : 2,500
0xd3cE0bf8f2955e788F5ed5A4d3Bc8F54C1F5525c : 2,500
0xC597021b1C15bB6da1c8aA5Ce202edf2104a24D6 : 2,500
0xC0EBC949d3047812b68372ef7d3c1A927f3A8De4 : 2,500
0x871DD93490B19aB4910cAF63116cA6ebF486A73E : 2,500
0xC7EB2ac4D418184B7aE3E86D539189ABAe01336b : 2,500
0xBc92c9996C0C61c8DD4F4D7F408B0b3E534c9462 : 2,500
0xD5afc23604FE43F1164D0866e5963D8058B9A49D : 2,500
0x9Dea5Bc93Acae363C8c1509b16E1115fb357CFA3 : 2,500
0x5ddF903808f8337B696e2373D28c7D0df46d02EF : 2,500
0x4F1686b577b58d36fD464B8497460aa920b6FE09 : 2,500
0xA1AdB8F8fd85eF9eE1c8a92cFE0823af850b01e3 : 2,500
0x7b5fD4d64C54184A3BC9c1c004E83C56F06f863A : 2,500
0x406F58C16fB6eb28bf3D836a14c2e37EbFDa0d26 : 2,500
0xDf22F1066C029c4C7b772c15cecD85aB4C9E0415 : 2,500
0x514Dee18909448674b3e7DEee105dF94d4c42D64 : 2,500
0xb28C4c86ceAC5Da37084AFB3A8Fd354D4Dea0F2d : 2,500
0x5233724aa5783d49eD84dA2162b2AfdF10EF3a49 : 2,500
0x0826A84C968Ad107aa7cCDe53571beB5c8fc789d : 2,500
0x93c6691D844a2f9e1A8240fE602cf1972C4fEBBE : 2,500
0xcE0206419cf9f4dEC0AE4D11F42c07BC0BA1E647 : 2,500
0xE7dcF2B7bb30C638c67c3C2A6f3bb18335570B92 : 2,500
0x656ffE0968fEAA73A9c5329FAbAfC7c04449B198 : 2,500
0x55428B02Ba619b82F5a45d75898261ee8B8C7963 : 2,500
0xE9CB46E2AF4EFfBde62838125aDc825c3c06Aad2 : 2,500
0x83c972ef4a35F842559a915571D380849b1c7315 : 2,500
0x5f4fc62aF45B7ECC257Ec78329fB92a956B10583 : 2,500
0x367FaB98632A0b4402Fd931aFfF6ba57A20E0c42 : 2,500
0x964167209C71a0d45d89469C118213884C232054 : 2,500
0xA2FdC2DDF5e652af96Dae3C9D16e34c9824e99AD : 2,500
0x6783b1261E19e8e682F25Fda65374ddBFBc01CA3 : 2,500
0xc42Bd8870b3C21f7496185bfB420046A53921f57 : 2,500
0x217563316A37bC220d38e0b79Ea95b02552FD25d : 2,500
0x8C69b1ED40A78600d48d26e51Aa5b801b50cc87D : 2,500
0x01daf2Dc0646014Fd6878c1420a7c489ef06714f : 2,500
0x3d8D0a95D9962cCeD171776f667f5dD2A1AC8fFe : 2,500
0x21B96812C00F81f66ae1293f68D762a20935326d : 2,500
0xb828812ba9cdB61790dC4238C386294640FA9989 : 2,500
0xE51A7b579fe715c22b23420C46F7c05F52A2E203 : 2,500
0xAf6073928FeA1Cb1E6ADE67d02B5580D1E39D1c3 : 2,500
0x43bEAAf55b402A7b59b8d2696eC040Fd09f6c001 : 2,500
0xfeA89E11f99D9593DD7C511b57AAEe2f8236238A : 2,500
0xBf6E0F0979741B5A3394f5c52De85C6466d3230a : 2,500
0x5dCB46Fcfe4866A479f83dF28Ab0E16075aa746d : 2,500
0x96dc1E10dC507002a503BB47d6d52724B2645bc2 : 2,500
0xD3295A8b3E1E66E0674b5037A4dFA7611f29C769 : 2,500
0x74Cce0E10378cd407414DeAB6B63980EAF690fEb : 2,500
0xc5602036c376D4BBFb10C5A3000620Fd37b982C2 : 2,500
0x6600229965DB49cda86f5D04ED43276792cC62f3 : 2,500
0xEd8fc2cc80B5D6D007275c7D7b29C2c7d1c812D0 : 2,500
0xbd7Bb450bd5E70eA3AEf176108FfeBAd082d3bA3 : 2,500
0x45F9C188a212168F8e450597702D0182d0328A9e : 2,500
0xdD74f3E0a6A497c21cC5dD8810f69c5299dA8517 : 2,500
0xf7065d52e4D25A9b12232e23E8159c130Ec3f6db : 2,500
0x41C1f182b6809dfF6BE7036721A108d188458D99 : 2,500
0x19A5307282bfF6763051049D92A8FBaf76227706 : 2,500
0x07Bcb22558932C1f04024e1B972fd1F3D693a52f : 2,500
0x7371ad636a5cC72b664cD58F3783F20f520F0Ee2 : 2,500
